card_badge,card_label,reference_index,removed_reference_title_audit,removed_reference_title_html,removed_justification,reason,url
PHYSBENCH-REF-0018,언어-행동 안전 정렬 실패 (Linguistic-action safety misalignment),2,Safety Moderation Benchmark (mvrcii),Safety Moderation Benchmark (mvrcii),"9개 정책 도메인 언어 안전 분류 벤치마크, 언어-행동 정렬 실패 탐지 (Safety Moderation Benchmark, HF)",일반 텍스트 안전 분류 벤치마크라서 embodied 행동 정렬 실패의 피지컬 실행 맥락을 직접 보강하지 못함,https://huggingface.co/datasets/mvrcii/safety-moderation-benchmark
PHYSBENCH-REF-0019,물리적 행동 기만 (Conceptual deception in physical action),2,DynamoAI Safety Benchmark (DynamoAI),DynamoAI Safety Benchmark (DynamoAI),"콘텐츠 조정 실제 시나리오 벤치마크, 물리 행동 기만 탐지 평가 기준 (DynamoAI Safety Benchmark, HF)",콘텐츠 조정 벤치마크로 보이며 물리적 행동 기만이나 로봇 실행 사례와 직접 연결이 약함,https://huggingface.co/datasets/dynamoai/dynamoai-benchmark-safety
PHYSBENCH-REF-0020,악의적 행동 요청 (Malicious physical action query execution),2,Harmful Behaviors (mlabonne),Harmful Behaviors (mlabonne),"유해 행동 요청 프롬프트 벤치마크(16K+ 다운로드), 악의적 쿼리 거부 평가 (Harmful Behaviors, HF)",일반 유해 프롬프트 데이터셋이라 악의적 피지컬 행동 실행과 embodied 맥락이 부족함,https://huggingface.co/datasets/mlabonne/harmful_behaviors
PHYSBENCH-REF-0024,피지컬 AI의 혐오·학대 행동 (Hateful or abusive embodied action),2,Harmful Behaviors (mlabonne),Harmful Behaviors (mlabonne),"혐오·학대 행동 요청 시나리오 포함 벤치마크, 거부 분류 정확도 측정 (Harmful Behaviors, HF)",일반 유해 행동 프롬프트 데이터셋이라 혐오·학대 행동의 로봇 실행 근거로는 약함,https://huggingface.co/datasets/mlabonne/harmful_behaviors
PHYSBENCH-REF-0030,감각 교란 기반 비안전 행동 (Adversarial sensory perturbation induced unsafe action),1,Robots,ANNIE: Be Careful of Your Robots,"감각 입력을 조금만 교란해도 로봇 정책이 위험 행동을 고를 수 있다 (Huang et al., 2025)","광범위한 Robots 문헌으로, 감각 교란·적대적 센서 공격을 직접 다루는 문헌은 아님",https://arxiv.org/pdf/2509.03383
PHYSBENCH-REF-0031,영상-행동 공격 안전 위반 (Safety violation under video-action attack),1,Robots,ANNIE: Be Careful of Your Robots,"조작된 영상이나 행동 입력은 로봇을 멈춰야 할 때도 계속 움직이게 만들 수 있다 (Huang et al., 2025)","제목이 광범위한 Robots 문헌으로, 영상-행동 공격이나 비디오 입력 조작 안전 위반을 직접 다루는 근거로는 약함",https://arxiv.org/pdf/2509.03383
PHYSCONN-REF-003,네트워크 분리와 군집 비동기화 (Network partition and fleet desynchronization),2,An efficient neural network approach to dynamic robot motion planning,+ An efficient neural network approach to dy… (2000),"통신과 네트워크 문제는 로봇 제어 지연과 연결된다 (An efficient neural network approach to dy…, 2000)",동적 로봇 모션 계획 논문이지 네트워크 분리나 군집 비동기화를 다루는 문헌이 아님,https://doi.org/10.1016/S0893-6080(99)00103-3
PHYSCONN-REF-004,제어 루프 데드라인 미달 (Control-loop deadline miss),2,A bioinspired neural network for real-time concurrent map building and complete coverage robot navigation in unknown environments,+ A bioinspired neural network for real-time… (2008),"통신과 네트워크 문제는 로봇 제어 지연과 연결된다 (A bioinspired neural network for real-time…, 2008)","실시간 지도작성·커버리지 내비게이션 논문으로, 제어 루프 deadline miss의 근거로는 직접성이 낮음",https://doi.org/10.1109/TNN.2008.2000394
PHYSCONN-REF-005,인지·추론 지연 급증 (Perception and inference latency spike),2,Adaptive network fuzzy inference system based navigation controller for mobile robot,+ Adaptive network fuzzy inference system ba… (2019),"통신과 네트워크 문제는 로봇 제어 지연과 연결된다 (Adaptive network fuzzy inference system ba…, 2019)","여기서 network는 퍼지/신경망 의미에 가깝고, 인지·추론 지연 급증을 직접 다루지 않음",https://doi.org/10.1631/FITEE.1700206
PHYSCONN-REF-009,안전 폴백 실패 (Degraded-mode and safe-fallback failure),2,An efficient neural network approach to dynamic robot motion planning,+ An efficient neural network approach to dy… (2000),"통신과 네트워크 문제는 로봇 제어 지연과 연결된다 (An efficient neural network approach to dy…, 2000)",동적 로봇 모션 계획 논문이지 degraded mode나 safe fallback 실패를 다루는 근거가 아님,https://doi.org/10.1016/S0893-6080(99)00103-3
